Autore,Titolo,Editore,Classificazione
Niccolo Ammaniti,Che la festa Cominci,Einaudi,Romanzo
Jonathan Coe,Circolo Chiuso,Feltrinelli,Romanzo
Christian Jacq,CLAIRE,MONDADORI,Romanzo
aa vv,Colosseo-Palatino-Foro romano-Domus Aurea. Ediz. italiana,Mondadori Electa,Archeologia
Ferdinand Petrie,"Come disegnare i paesaggi. Tutte le fasi per realizzare a matita ogni singolo elemento del paesaggio: alberi, montagne, colline, rocce, scenari industriali...",Newton Compton,Arte
Hogart Burne,Come disegnare la figura vestita. Per riprodurre nel migliore dei modi pieghe e drappeggi,Newton Compton,Arte
Giuseppe Montesano,Come diventare vivi. Un vademecum per lettori selvaggi,Passaggi,Saggi
Wilbur Smith,Come Il Mare,Tea,Romanzo
Giacomo Matteotti,Contro il fascismo-Un anno di dominazione fascista,West Indian,Politica
Enrico Letta,Contro venti e maree. Idee sull'Europa e sull'Italia. Conversazione con Sébastien Millard,Il Mulino,Politica
"Cay S. Horstmann, Gary. Cornell",Core Java 2,Pearson Prentice Hall,Informatica
"Cay S. Horstmann, Gary Cornell",Core Java 2. Vol. 1: Fondamenti.,Pearson Education Italia,Informatica
Luciano DeCrescenzo,Cosi parlo Bellavista.,Fastbook,Narrativa
Mike Davis,Costruire applicazioni cpn Access (versioni 97 e 2000),Apogeo,Informatica
Roberto Chimenti,Costruire siti dinamici con Joomla! 1.5,Hoepli,Informatica
Tiziano Fogliata,Creare blog e siti web con WordPress,Hoepli,Informatica
Riccardo Falcinelli,Cromorama. Come il colore ha cambiato il nostro sguardo,Einaudi. Stile Libero Extra,Arte
"M.J. Easton, Jason King","Cross-Platform .NET Development: Using Mono, Portable.NET, and Microsoft .NET",Apress,Informatica
Dan Brown,Crypto,Mondadori,Romanzo
Gianluca Troiani,CSS,Apogeo,Informatica
Fabio Fracas,Cubase 4. Musica digitale. Guida pratica per diventare musicisti digitali. Con CD-ROM,Sprea Book,Musica
Danila Comastri Montanari,Cui prodest?,Hobby Work Publishing,Romanzo
Paolo Bertetto,Cuore scuro,Piemme,Romanzo
Costantino Maes,Curiosità romane,Ab Edizioni,Narrativa
Lin Anderson,Dark Flight,Hodder Paperback,Gialli
Tobias Jones,"Dark Heart of Italy, The",Faber,Politica
Paolo Giudici,"Data mining. Modelli informatici, statistici e applicazioni",McGraw-Hill Companies,Informatica
"Matteo Golfarelli, Stefano Rizzi",Data Warehouse. Teoria e pratica della progettazione. Con CD-ROM,McGraw-Hill Companies,Informatica
Bassett,David Copperfield (Oxford Bookworms Library Classics),"Oxford University Press, USA",Lingue
Tito Lucrezio Caro,De rerum natura. Testo latino a fronte,UTET,Classici
Lin Anderson,Deadly Code,Hodder,Gialli
Gigi Proietti,Decamerino. Novelle dietro le quinte,Best Bur,Attualita
"Giovanni Boccaccio, R. Marrone",Decameron. Ediz. integrale,I Minimammut,Classici
vuoto,DELPHI 6,Apogeo,Informatica
Michele Brambilla,Dieci anni di illusioni. Storia del Sessantotto,Rizzoli,Politica
Alberto Siliotti,Dimore Eterne,White Star,Archeologia
Fernando Picchi,"Dizionario d'uso dei phrasal verbs. Inglese-italiano. Dizionario completo dei verbi frasali inglesi, glossario di verbi italiani tradotti con phrasal verbs",Hoepli,Lingue
Fernando Ravaro,Dizionario romanesco,Newton Compton,Lingue
Jonathan Coe,Donna per caso,Feltrinelli,Romanzo
Elie Wiesel,Dopo la notte,Garzanti Libri,Romanzo
Wilbur Smith,Dove Finisce L'arcobaleno - Quattro Destini Uniti in Un Sogno Di Spreanza E Liberta,Tea,Romanzo
"Robert Louis Stevenson, Rosemary Border",Dr Jekyll and Mr Hyde: 1400 Headwords (Oxford Bookworms Library),Oxford University Press,Lingue
Lin Anderson,Driftnet (Rhona MacLeod),Hodder Stoughton,Gialli
Danila Comastri Montanari,Dura lex,Hobby Work Publishing,Romanzo
Federico Palmaroli,E so' problemi,Rizzoli,Humor
Lin Anderson,Easy Kill,Hodder,Gialli
Mladen Gogala,Easy Oracle PHP: Create Dynamic Web Pages with Oracle Data (Easy Oracle Series),Rampant Techpress,Informatica
Ferruccio Parazzoli,Eclisse del Dio unico,Il Saggiatore,Religione
"Rob Humphreys, Donald Reid",Edimburgo,Vallardi Viaggi,Viaggi
Rose-Marie Hagen,Egitto. Popolo divinità faraoni,Taschen,Archeologia
Hannah Arendt,Eichmann and the Holocaust,Penguin,Storia
Alessandro Baricco,Emmaus,Feltrinelli Editore S.R.L,Narrativa
"Michael McCarthy, Felicity O'Dell",English Vocabulary in Use Upper-Intermediate with answers,Cambridge University Press,Lingue
Andrea Camilleri,Esercizi di memoria,Rizzoli,Narrativa
Marco Beri,Espressioni regolari,Apogeo,Informatica
Tony Siluro Ventilatio,Estetica della scorreggia. Appunti per una buona applicazione della tromba di culo ad uso dei cultori,Scipioni,Humor
Baruch Spinoza,Etica,Bompiani,Filosofia
Gianni Giaccaglini,Excel e Office VBA. La guida completa. Con CD-ROM,Hoepli,Informatica
Antonio Pennacchi,Fascio e martello. Viaggio per le città del duce,Economica Laterza,Storia
"Judith Wilson, Richard Acklam, Jacky Newbrook",FCE Gold Plus (Gold),"Pearson Longman, ELT",Lingue
"Sally Burgess, Judith Wilson, Jacky Newbrook",FCE Gold Plus Maximiser: No Key (Gold),"Pearson Longman, ELT",Lingue
Najma Dharani,Field Guide to Common Trees and Shrubs of East Africa,Struik Publishers,Viaggi
Wilbur Smith,Figli Del Nilo,Longanesi,Romanzo
Roberto Celano,FileMaker PRO - Guida Pratica,Mondandori,Informatica
Lin Anderson,Final Cut (Rhona MacLeod),Hodder Stoughton,Gialli
Alex C. Raccuglia,Final Cut Pro per i professionisti,Apogeo,Video
Massimiliano D'Andrea,Final Cut studio 2. Con CD-ROM,Sprea Book,Video
A. P. Chekhov,Five Comic One-Act Plays (Dover Thrift Editions),Dover Publications Inc.,Lingue
"Robert Reinhardt, Snow Dowd",Flash CS3. Con CD-ROM,Hoepli,Informatica
Massimo Introvigne,Fondamentalismi. I diversi volti dell'intransigenza religiosa,Piemme,Religione
Giulio Forti,Fotografia. Teoria e pratica della Reflex,Reflex,Fotografia
Mary Shelley,Frankenstein. Con CD Audio. Con CD-ROM. Con espansione online,ELI,Lingue
"Michael Wolff, I. Annoni, E. Cantoni",Fuoco e furia. Dentro la Casa Bianca di Trump,Saggi Stranieri,Attualita
Jorge Amado,"Gabriela, cravo e canela",Dom Quixote,Romanzo
Danila Comastri Montanari,Gallia est,Hobby Work Publishing,Romanzo
"De Fabianis, Valeria Manferto",Gente. Immagini dal mondo,White Star,Viaggi
Danila Comastri Montanari,Giallo antico. Come si scrive un poliziesco storico,Hobby Work Publishing,Manuali
vuoto,"GIMP, Pocket Guide",O'Really - HOPS,Grafica
Guido Barbujani,Gli africani siamo noi. Alle origini dell'uomo,I Robinson. Letture,Sociologia
Wilbur Smith,Gli eredi dell'eden,Tea,Romanzo
"Nicolas d'Estienne D'Orves, C. Lionetti",Gli orfani del male,Sperling,Romanzo
