Autore,Titolo,Editore,Classificazione
"Lynn Picknett, Clive Prince",La rivelazione dei templari,Sperling & Kupfer,Religione
Bruno Tinti,La rivoluzione delle tasse. Contro il partito degli evasori,Chiarelettere,Politica
Andrea Camilleri,La rizzagliata,Sellerio Editore,Romanzo
Luciano Canfora,La schiavità del capitale,Il Mulino,Economia
Marco Travaglio,La scomparsa dei fatti. Si prega di abolire le notizie per non disturbare le opinioni,Il Saggiatore,Sociologia
Leonardo Sciascia,La Scomparsa di Majorana,Adelphi,Storia
Andrea Camilleri,La Setta Degli Angeli,Sellerio di Giorgianni,Romanzo
Paolo Giordano,La solitudine dei numeri primi,Mondadori,Romanzo
Wilbur Smith,La spiaggia infuocata,Tea,Romanzo
vuoto,La Storia Vol.1 dalla preistoria agli Egizi,Repubblica,Storia
Paulo Cohelo,La Strega di Portobello,BOMPIANI,Romanzo
Andrea Camilleri,La targa,Scala Italiani,Romanzo
Elido Fazi,"La terza guerra mondiale? La verità sulle banche, Monti e l'euro",Fazi,Economia
"Steve Berry, E. Villa",La tomba di ghiaccio,Nord,Romanzo
Andrea Camilleri,La vampa d'agosto,Sellerio Editore Palermo,Romanzo
Dan Brown,La Verita Del Ghiaccio,Arnoldo Mondadori Editore,Romanzo
Tacconi,La Verità Perduta,Mondadori,Romanzo
Wilbur Smith,La voce del tuono,Tea,Romanzo
Franz Monssen,Laboratorio di circuiti elettrici con OrCAD PSpice,Apogeo,Elettronica
Leonardo Sciascia,L'affaire Moro (Piccola Biblioteca Adelphi),Adelphi,Politica
Gabriel Garcia Marquez,L'Amore ai Tempi del Colera,Mondadori,Romanzo
Catherine Salles,L'amore al tempo dei romani,Gremese Editore,Storia
José Saramago,Cecità,Feltrinelli,Romanzo
Arthur Phillips,L'Archeologo,Rizzoli,Gialli
Ovidio,L'Arte d'Amare,Rizzoli - RCS Libri,Classici
Betty Edwards,L'arte del colore. Guida pratica all'uso dei colori,Longanesi,Arte
"Art Wolfe, Rob Sheppard",L'arte della fotografia. Ediz. a colori,White Star,Fotografia
Nicola Gardini,Latino,Alpha Test,Lingue
"Rinaldo Donzelli, Bruno Munari, Piero Polato",Lavori in legno,Orsa Maggiore,Hobby
Gianni Oliva,L'avventura coloniale italiana. L'Africa Orientale Italiana (1885-1942),Edizioni del Capricorno,Storia
Andrea Camilleri,Le ali della sfinge,Sellerio Editore Palermo,Romanzo
A.Conan Doyle,Le avventure di Sherlock Holmes,Newton,Gialli
Davide Castellini,Le canzoni di Peter Gabriel,Editori Riuniti,Musica
Berto Dodson,Le chiavi del disegno,Newton Compton,Arte
Andrea Camilleri,Le inchieste del commissario Collura,Mondadori,Romanzo
Vittorio Sgarbi,Le meraviglie di Roma. Dal Rinascimento ai giorni nostri,Dizionari Dei Monumenti Italiani,Arte
"Laurence Gardner, A. Moro, T. Topini",Le misteriose origini dei re del Graal,Newton Compton,Storia
Ernest Hemingway,Le Nevi del Kilimangiaro / The Snows of Kilimanjaro [Bilingual Text],Mondadori,Romanzo
Martin Rua,Le nove chiavi dell'antiquario. Parthenope trilogy,Newton Compton,Romanzo
George L. Mosse,Le origini culturali del Terzo Reich,Il Saggiatore Tascabili,Storia
Gaetano Salvemini,Le origini del fascismo in Italia,Feltrinelli,Storia
Andrea Camilleri,Le pecore e il pastore,Sellerio Editore Palermo,Romanzo
"Javier Sierra, C. Marinelli",Le porte dei templari,Net,Romanzo
Fabio Volo,Le prime luci del mattino,Mondadori,Romanzo
Oriana Fallaci,Le radici dell'odio. La mia verità sull'Islam,Rizzoli,Sociologia
Hans Jonas,Il concetto di Dio dopo Auschwitz,Il melangolo,Saggi
Pierre Dukan,Le ricette della dieta Dukan. 350 ricette per dimagrire senza soffrire,Sperling Kupfer,Dieta
Gianrico Carofiglio,Le tre del mattino,Einaudi,Romanzo
Emanuele Campiglio,L'economia buona,Presente Storico,Economia
Christian Jacq,L'Egitto dei grandi Faraoni,Mondadori,Archeologia
Muriel Barberry,L'eleganza Del Riccio,EO,Romanzo
Pietro Borromeo,L'enigma del Bafometto,Fermento,Romanzo
Alberto Bevilacqua,L'eros,Mondadori,Romanzo
Luigi. Pirandello,L'Esclusa,Garzanti,Letteratura
Michele Brambilla,L'eskimo in redazione,Mondadori,Politica
Carlo Lucarelli,L'estate torbida,Einaudi,Romanzo
Ian Rankin,Let It Bleed,Orion,Gialli
Andrea Camilleri,L'eta del dubbio,Sellerio Editore,Romanzo
Sabrina Torno,Letteratura latina,Alpha Test,Lingue
Allison Weir,Traitors of the Tower,Vintage UK,Storia
"Vincent Van Gogh, M. Cescon, M. Donvito, B. Casavecchia",Lettere a Theo,Guanda,Arte
"Antonio Gramsci, P. Spriano",Lettere dal carcere,Einaudi,Politica
Joseph Conrad,Cuire di Tenebra,Feltrinelli,
Stephen Shore,Lezione di fotografia. La natura delle fotografie,Phaidon,Fotografia
Margherita Hack,Libera scienza in libero Stato,Rizzoli,Sociologia
Frank Schatzing,Limit,Nord,Romanzo
Milan Kundera,L'Insostenibile Leggerezza dell'essere,Adelphi,Romanzo
Carla Schroder,Linux cookbook,Tecniche Nuove,Informatica
Craig Hunt,Linux Network Server,Jackson Libri,Informatica
"Hill B. Mako, J. Bacon, C. Burger",Linux Ubuntu. La guida ufficiale.,Mondadori Informatica,Informatica
Jonathan Nasaw,L'Isola della strage - Morte ai Caraibi,Mondadori,Gialli
"Christina Lamb, Nujeen Mustafa",Lo straordinario viaggio di Nujeen. Dalla Siria alla Germania in sedia a rotelle per fuggire dalla guerra,Harpercollins Italia,Narrativa
Paulo Coelho,Lo Zahir,Bompiani,Romanzo
Michael Freeman,L'occhio del Fotografo - La composizione nella fotografia digitale,Logos,Fotografia
Irene Belloni,L'occhio di Horus,lulu.com,Romanzo
Pietro Borromeo,L'ombra del Bafometto,Fermento,Romanzo
Wilbur Smith,L'ombra del sole,Tea,Romanzo
Carlos Ruiz Zafon,L'ombra Del Vento,Mondadori,Romanzo
Edward Rutherfurd,London,Arrow,Romanzo
Touring club italiano,London,Servizio cartigrafico del Touring club italiano,Viaggi
Lonely Planet,London (Italian Edition),Lonely Planet Publications - Italian editions,Viaggi
vuoto,Londra,Touring,Viaggi
Rob Humphreys,Londra,Vallardi Viaggi,Viaggi
Ilona Jerger,E Marx tacque nel giardino di Darwin,Neri Pozza Editore,Romanzo
"Walter Benjamin, E. Filippini, M. Valagussa",L'opera d'arte nell'epoca della sua riproducibilità tecnica,Einaudi,Fotografia
Carlo Rovelli,L'ordine del tempo,Adelphi,Fisica
Matilde Asensi,L'Origine Perduta,Sonzogno,Romanzo
Wilbur Smith,L'uccello del sole,Tea,Romanzo
Matilde Asensi,L'Ultimo Catone,Sonzogno,Romanzo
Emiliano Fittipaldi,"Lussuria. Peccati, scandali e tradimenti di una Chiesa fatta di uomini",Serie Bianca,Saggi
Bob Dylan,Lyrics 1962-2001. Testo inglese a fronte,Feltrinelli,Musica
Costantino D'Orazio,Ma liberaci dal male,Sperling Kupfer,Romanzo
Christian Jacq,Maat,Mondadori,Romanzo
Chuck Toporek,Mac OS X Leopard. Guida pocket,Tecniche Nuove,Informatica
Antonio Pennacchi,Mammut,Oscar Contemporanea,Romanzo
"Gianni Barbaceto, Peter Gomez, Marco Travaglio",Mani pulite 25 anni dopo,Chiarelettere,Saggi
Vari,Manuale Cremonese di Elettrotecnica,Edizioni Cremonese,Manuali
Vari,Manuale Cremonese di MECCANICA,Edizioni Cremonese,Manuali
Vari,"Manuale Cremonese di MECCANICA ELETTROTECNICA ELETTRONICA, parte generale",Edizioni Cremonese,Manuali
Vari,"Manuale Cremonese di MECCANINCA ELETTORTECNICA ELETTRONICA, Indici: generale, autori, analitico",Edizioni Cremonese,Manuali
Vari,Manuale del Perito in elettronica telecomunicazioni energia nucleare,Edizioni Cremonese,Manuali
Carlos Ruiz Zafon,Marina,Mondadori,Romanzo
"Mark Ellingham, Shaun McVeigh, Daniel Jacobs, Hamish Brown",Marocco,Vallardi Viaggi,Viaggi
Doris Lessing,Martha Quest,Feltrinelli,Romanzo
Andrea Camilleri,Maruzza Musumeci,Sellerio Editore Palermo,Romanzo
Magaldi Gioele,Massoni. Società a responsabilità illimitata. La scoperta delle Ur-Lodges,Chiarelettere,Saggi
"Albrecht Beutelspacher, A. Peroni",Matematica. Tutto quello che avreste voluto sapere. 101 domande e risposte,Ponte Alle Grazie,Matematica
"Marguerite Yourcenar, L. Storoni Mazzolani",Memorie di Adriano. Seguite dai taccuini di appunti,Einaudi,Storia
Martha Nasib?,Memorie di una principessa etiope,Neri Pozza,Romanzo
Tim Wu,The Master Switch,Atlantic Books,Saggi
Maurizio Pallante,Meno e meglio. Decrescere per progredire,Mondadori,Saggi
"Thomas Thoenes, Frank Z?llner",Michelangelo,Taschen,Arte
"Khaled Hosseini, I. Vaj",Mille splendidi soli,Piemme,Romanzo
Vittorio Lingiardi,Mindscapes. Psiche nel paesaggio,Cortina Raffaello,Sociologia
Wilbur Smith,Monsone,Tea,Romanzo
Danila Comastri Montanari,Morituri te salutant,Hobby Work Publishing,Romanzo
Danila Comastri Montanari,Mors tua,Oscar Bestsellers,Romanzo
Ian Rankin,Mortal Causes,Ian Rankin,Gialli
Antonio Cederna,Mussolini urbanista. Lo sventramento di Roma negli anni del consenso,Corte del Fontego,Saggi
Michael Kofler,My SQL 5,Apogeo,Informatica
Bois Paul Du,MySQL,Pearson Education Italia,Informatica
"Paul DuBois, Stefan Hinz, Carsten Pedersen",MySQL 5.0 Certification Study Guide (MySQL Press),MySQL Press,Informatica
"Jeremy D. Zawodny, Derek J. Balling",MySQL. Guida avanzata,Tecniche Nuove,Informatica
MySQL AB,MySQL. Guida ufficiale,Mondadori Informatica,Informatica
Lewis,Naples '44: A World War II Diary of Occupied Italy,DaCapo Press,Storia
"Boris Pahor, E. Martin",Necropoli,Fazi,Romanzo
Christin Jacq,Nefer,Mondadori,Romanzo
Alan Drew,Nei giardini d'acqua,Piemme,Romanzo
"Chris Offutt, R. Serrai",Nelle terre di nessuno,Sotterranei,Racconti
Danila Comastri Montanari,Nemesis,Hobby Work Publishing,Romanzo
Marcella Russano,"Nero a meta'. Dalle origini a ""Grande madre"" tutta la poesia di Pino Daniele",Best Bur,Musica
CHRISTINA LATHAM-KOENIG CLIVE OXENDEN,NEW ENGLISH FILE INTERMEDIATE PACK WITHOUT KEY MULTIROM PACK (NEW ENGLISH FILE INTERMEDIATE PACK),Oxford University Press,Lingue
vari,New Yorkers - Short Stories: 700 Headwords (Oxford Bookworms Library),Oxford University Press,Lingue
Giorgio Faletti,Niente di vero tranne gli occhi,Dalai Editore,Romanzo
Franco Battiato,Niente e' come sembra. Con DVD,Bompiani,Musica
George Orwell,Nineteen Eighty-four,Penguin,Romanzo
"Carlo Conti, E. Giovannini, L. Siano",Noi che... I migliori anni,Mondadori,Attualita
vuoto,vuoto,vuoto,Animali
Margaret Mazzantini,Non Ti Muovere,Mondadori,Romanzo
Alberto Burgio,Nonostante Auschwitz. Il ritorno del razzismo in Europa,Deriveapprodi,Saggi
Carlo Tronchetti,Nora,Delfino Carlo Editore,Archeologia
Giovanni Boccaccio,Novelle dal Decameron,Vallardi A.,Letteratura
Paulo Coelho,O Alquimista,"Bertrand, Livraria",Romanzo
Antonio Gramsci,Odio gli indifferenti,Chiarelettere,Saggi
Francis Scott Fitzgerald,Il grande Gatsby,Feltrinelli,Romanzo
Omero,Odissea. Ediz. integrale,Newton Compton,Letteratura
Charles Dickens,Oliver Twist: 2500 Headwords (Oxford Bookworms Library),Oxford University Press,Romanzo
Ian McEwan,On Chesil Beach,Vintage,Romanzo
Marquez Gabriel Garcia,Opere narrative. Vol. 1,Mondadori,Letteratura
Marquez Gabriel Garcia,Opere narrative. Vol. 2,Mondadori,Letteratura
"Giacomo Leopardi, A. Prete",Operette Morali,Universale Economica. I Classici,Letteratura
"Kevin Loney, Marlene Theriault",Oracle 9i DBA. Implementazioni di soluzioni amministrative per esperti,McGraw-Hill Oracle Press,Informatica
Michael McLaughlin,Oracle Database 10g Express Edition PHP Web Programming (Osborne ORACLE Press Series),McGraw-Hill Osborne Media,Informatica
Edward Whalen,Oracle Database 10g. Amministrazione in Linux,McGraw-Hill Companies,Informatica
"Scott Hurman, Ron Hardman, Michael McLaughin",Oracle Database 10g. Programmazione PL/SQL,McGraw-Hill Oracle Press,Informatica
Jason Price,Oracle Database 10g. SQL,McGraw-Hill Oracle Press,Informatica
"Lawrence C. Linnemeyer, Bradley D. Brown",Oracle HTML DB. Applicazioni Express,McGraw-Hill Oracle Press,Informatica
Wilbur Smith,Orizzonte,RL Libri,Romanzo
Marco Del Freo,Orizzonte bianco. Scoperte scientifiche e avventura umana nella base italiana in Antartide,Sperling,Saggi
Karen Blixen,Out of Africa (Penguin Modern Classics),Penguin Classics,Romanzo
"Albert Sydney Hornby, Sally Wehmeier",Oxford Advanced Learner's Dictionary,Oxford University Press,Lingue
"Catherine Soanes, Angus Stevenson",Oxford dictionary of English.,Oxford University Press,Lingue
vuoto,OXFORD STUDY per studenti d'inglese,Oxford University Press,Lingue
WilliamSomerse Maugham,Painted Veil,VINTAGE,Romanzo
Antonio Pennacchi,Palude,I Tascabili,Romanzo
Christin Jacq,Paneb,Mondadori,Romanzo
Umberto Eco,Pape Satan Aleppe: Cronache di una società liquida,La nave di Teseo,Saggi
Danila Comastri Montanari,Parce sepulto,Hobby Work Publishing,Romanzo
"Paolo Puntoni, Renzo De Felice",Parla Vittorio Emanuele III,Il Mulino,Storia
"Giobbe Covatta, stefano disegni",Parola Di Giobbe,adriano salani editore,Attualita
Roberta Ferraris,"Pasta madre. Tutto ciò che devi sapere per produrla, conservarla e utilizzarla al meglio",Terre di Mezzo,Cucina
"Alessandro Bellini, Andrea Guidi",Perl e Internet,McGraw-Hill Companies,Informatica
Marisa Padovani,Photoshop CS,Apogeo,Informatica
Scott Kelby,Photoshop CS5 per la fotografia digitale,Pearson,Informatica
"Andi Gutmans, Stig Bakken, Derick Rethans",PHP 5 Guida completa,Apogeo,Informatica
vuoto,PHP 5. Guida per lo sviluppatore,Hoepli,Informatica
Lin Anderson,Picture Her Dead (Rhona MacLeod),Hodder Stoughton,Gialli
Angelo Petrella,Pompei. L'incubo e il risveglio,Rizzoli,Storia
Anna Foa,Portico d'Ottavia n. 13. Una casa del ghetto nel lungo inverno del '43,Laterza,Romanzo
Mark Mamone,Practical Mono (Expert's Voice in Open Source),Apress,Informatica
Jane Austen,Pride and Prejudice: 2500 Headwords (Oxford Bookworms Library),Oxford University Press,Romanzo
"Bart D. Ehrman, M. Grosso","Prima dei vangeli. Come i primi cristiani hanno ricordato, manipolato e inventato le storie su Ges?",Carocci,Storia
John Ingledew,Professione: fotografo,Logos,Fotografia
"Mark Lutz, David Asher",Programmare con Python,Hoepli,Informatica
Cesare Rizzi,Progressive & Underground,Giunti Editore,Musica
Erich Fromm,Psicoanalisi dell'amore,Newton Compton,Psicologia
Antonio Manzini,Pulvis et umbra,Sellerio Editore Palermo,Romanzo
Marco Beri,Python,Apogeo,Informatica
Wilbur Smith,Quando vola il falco,Tea,Romanzo
"Agatha Christie, M. G. Griffini, L. Lax",Quattro casi per Hercule Poirot,Mondadori,Gialli
Hermann Hesse,Racconti,Newton Compton,Racconti
Franz Kafka,Racconti,Mondadori,Racconti
Doris Lessing,Racconti africani,Feltrinelli,Racconti
Doris Lessing,Racconti Londinesi,Feltrinelli,Racconti
Franco Cimmino,Ramesses II Il Grande,Rusconi,Romanzo
vuoto,Ramses 4 Regina DI Abu Simbel (Italian Edition),Mondadori,Storia
vuoto,Ramses o Dimora Millenaria (Italian Edition),Mondadori,Storia
Christian Jacq,Ramses: L'ultimo nemico,Mondadori,Romanzo
"Marco Travaglio, Peter Gomez",Regime,BUR Biblioteca Univ. Rizzoli,Saggi
Andrews Tanenbaum,Reti di Computer,UTET,Informatica
"Zygmunt Bauman, M. Cupellaro",Retrotopia,Tempi Nuovi,Sociologia
Roberto Fanchini,Rhinoceros. Guida all'uso,FAG,Informatica
"Costantino D'Orazio, Mimmo Paladino","Ritratti romani. Chi ha costruito Roma, come e perchè",Palombi Editori,Saggi
Italo Insolera,Roma fascista: Nelle fotografie dell'Istituto Luce (L'immagine e la storia),Editori riuniti,Storia
"Ginevra Lovatelli, Adriano Morabito, Marco Gradozzi",Roma insolita e segreta. Ediz. a colori,Jonglez,Arte
Mario Sconcerti,Romolo. L'alba di Roma da riscrivere,Dalai Editore,Storia
Stephen King,Running Man,Penguin Books Australia,Romanzo
Alberto Angela,San Pietro. Segreti e meraviglie in un racconto lungo duemila anni,Di Tutto Di Pi?,Arte
Danila Comastri Montanari,Saturnalia,Mondadori,Romanzo
Danila Comastri Montanari,Scelera,Hobby Work Publishing,Romanzo
"Rob Humphreys, Donald Reid",Scozia,Vallardi Viaggi,Viaggi
300.000. Ediz. multilingue,"Scozia, Inghilterra del Nord 1:300.000. Ediz. multilingue",Marco Polo,Viaggi
Oriana Fallaci,Se il Sole Muore,BUR Biblioteca Univ. Rizzoli,Romanzo
"Peter Gomez, Marco Travaglio",Se li conosci li eviti,Chiarelettere,Attualita
Andrew Yule,Sean Connery: Neither Shaken nor Stirred,"Little, Brown Book Group",Biografia
Jackie Maguire,Seasons and Celebrations (Oxford Bookworms Library),Oxford University Press,Lingue
Lilla Salgado,Sebastiao Salgado. Genesis,Taschen,Fotografia
Luigi Pirandello,Sei Personaggi in Cerca d'Autore / Enrico IV (Italian Edition),Mondadori,Letteratura
"Mark Wilding, Dan Behman",Self service Linux,Apogeo,Informatica
Dino Buzzati,Sessanta Racconti,Mondadori,Racconti
Sigmund Freud,Sessualità e vita amorosa,Newton Compton,Psicologia
Carlo Rovelli,Sette brevi lezioni di fisica,Adelphi,Fisica
Sir Arthur Conan Doyle,Sherlock Holmes Short Stories: 700 Headwords (Oxford Bookworms Library),Oxford University Press,Lingue
Hermann Hesse,Siddharta,Adelphi,Romanzo
"Ramez A. Elmasri, Shamkant B. Navathe",Sistemi di basi di dati,Pearson Education Italia,Informatica
Robert Capa,Slightly Out of Focus (Modern Library War),Modern Library,Storia
Luciano De Crescenzo,Socrate,A. Mondadori,Filosofia
Giuseppe Gioachino Belli,Sonetti,Mondadori,Poesia
Danila Comastri Montanari,"Spes, ultima dea",Hobby Work Publishing,Romanzo
Mario Biey,Spice e PSpice. Introduzione all'uso,CLUT,Elettronica
"Mary Beard, A. Piccato",SPQR. Storia dell'antica Roma,Mondadori,Storia
Paolo Villaggio,Storia della libertà di pensiero,Feltrinelli,Sociologia
Franco Cimmino,Storia delle Piramidi,Rusconi,Storia
Silvio Lanaro,Storia dell'Italia repubblicana (1946-1991),Marsilio,Storia
Indro Montanelli,Storia di Roma,BUR Biblioteca Univ. Rizzoli,Storia
Erodoto,Storie. Testo greco a fronte. Vol. 1: Libri I-IV.,Mondadori,Letteratura
"David Gibson, M. Villa",Street photography. Manuale del fotografo di strada,Il Castello,Fotografia
Ian Rankin,Strip Jack,Orion Books,Gialli
"Gaetano Salvemini, S. Bucchi",Sulla democrazia,Bollati Boringhieri,Politica
"Susan Sontag, Ettore Capriolo, E. Capriolo",Sulla fotografia. Realtà e immagine nella nostra societ,Einaudi,Fotografia
Barack Obama,Sulla razza. Testo inglese a fronte,Rizzoli,Sociologia
Wilbur Smith,Sulla rotta degli squali,Tea,Romanzo
"Hermann Hesse, Bruna Bianchi",Sull'amore,Mondadori,Sociologia
"Hermann Hesse, Paola Sorge",Sull'anima,Newton e Compton,Saggi
Thomas Myer,Sviluppo Web con XML e PHP,Mondadori Informatica,Informatica
Jens Finke,Tanzania,Vallardi Viaggi,Viaggi
"William Shakespeare, G. Melchiori",Teatro completo. Testo inglese a fronte. 2.Le commedie romantiche,Mondadori,Classici
Thomas Sanders,Terreno di Gioco,Sonzogno,Romanzo
vuoto,Testi religiosi dell'antico Egitto,Mondadori,Religione
Donald Omand,The Argyll Book,"Birlinn, Limited",Storia
Anthony Ryder,The Artist's Complete Guide to Figure Drawing: A Contemporary Perspective On the Classical Tradition,Watson-Guptill,Arte
J.K. Rowling,The Casual Vacancy,"Little, Brown",Romanzo
Robert Galbraith,The Cuckoo's Calling,"Little, Brown Book Group",Romanzo
"Leonard Mlodinow, Stephen Hawking",The Grand Design,Bantam,Fisica
Sir Arthur Conan Doyle,The Hound of the Baskervilles (Penguin Popular Classics),Penguin Classics,Gialli
Jonathan Coe,The House of Sleep,Penguin,Romanzo
"Mark Logue, Peter Conradi",The King's Speech,Quercus Publishing Plc,Romanzo
Khaled Hosseini,The Kite Runner,Bloomsbury Publishing Inc,Romanzo
Stephen S. Mehler,The Land of Osiris,Adventures Unlimited Press,Archeologia
Martin Sixsmith,The Lost Child of Philomena Lee,Pan,Romanzo
Doyle Arthur Conan,The memories of Sherlock Holmes,Giunti Editore,Gialli
Agatha Christie,The Mystery of the Blue Train (Hercule Poirot Mysteries),Penguin,Gialli
Ansel Adams,"The Negative (Ansel Adams Photography, Book 2)","Little, Brown",Fotografia
Ansel Adams,"The Print (Ansel Adams Photography, Book 3)","Little, Brown",Fotografia
Jonathan Coe,The Rain Before It Falls,Viking Books,Romanzo
Lin Anderson,The Reborn: Rhona Macleod Book 7 (Rhona Macleod 7),Hodder,Romanzo
Jason Mott,The returned,Harlequin Mondadori,Romanzo
David Sax,The Revenge of Analog: Real Things and Why They Matter,PublicAffairs,Attualita
Robert Galbraith,The Silkworm (Cormoran Strike),Sphere,Romanzo
Nigel Tranter,The Story of Scotland,Neil Wilson Publishing,Storia
Jonathan Coe,The Terrible Privacy of Maxwell Sim,Penguin Books,Romanzo
Isabel Wilkerson,The Warmth of Other Suns: The Epic Story of America's Great Migration (Vintage),Vintage,Storia
Susan Hill,The woman in black (La donna in nero),Polillo,Romanzo
Jerome Kapla Jerome,Three Men in a Boat,Penguin Classics,Racconti
Niccolo Ammaniti,Ti Prendo E Ti Porto Via,Mondadori,Romanzo
Ian Rankin,Tooth & Nail,Orion Book,Romanzo
Franco Giustolisi,L'armadio della vergogna,BEAT,Storia
Lin Anderson,Torch (Rhona MacLeod),Hodder Stoughton,Romanzo
Baruch Spinoza,"Trattato dei tre impostori. Mosè, Gesù, Maometto",Piano B,Saggi
Ernest  Hemingway,True at First Light,Easton Press,Romanzo
Isaac Rabinovitch,Tutorial Java. Corso rapido. Con CD-ROM,McGraw-Hill Companies,Informatica
Francesco Totti,Tutte le barzellette su Totti : raccolte da me,Mondadori,Attualita
Ann Cleeves,The sleeping and the dead,PAN BOOKS,Romanzo
"Giuseppe Verdi, P. Mioli",Tutti i libretti d'opera,Newton Compton,Musica
Giovanni Di Iacovo,Tutti i poveri devono morire,Castelvecchi,Saggi
"Edgar Allan Poe, D. Palladini, I. Donfrancesco","Tutti i racconti del mistero, dell'incubo e del terrore",Newton Compton,Racconti
Luigi Pirandello,Tutti i romanzi. Vol. 1,Mondadori,Letteratura
Luigi Pirandello,Tutti i romanzi. Vol. 2,Mondadori,Letteratura
U2,U2. Tutti i testi con traduzione a fronte,Giunti Editore,Musica
Wilbur Smith,Uccelli da preda,Tea,Romanzo
Andrea Camilleri,Un filo di fumo,Sellerio Editore Palermo,Romanzo
Giuseppe Antonelli,Un italiano vero. La lingua in cui viviamo,Rizzoli,Lingue
Doris Lessing,Un Matrimonio per Bene (Universale Economica Feltrinelli),Feltrinelli,Romanzo
Alberto Angela,"Una giornata nell'antica Roma. Vita quotidiana, segreti e curiosit",Mondadori,Storia
Andrea Camilleri,Una Lama Di Luce,Sellerio di Giorgianni,Romanzo
Wilbur Smith,Un'aquila nel cielo,Tea,Romanzo
Wilbur Smith,Vendetta di sangue,Longanesi,Romanzo
Margaret Mazzantini,Venuto Al Mondo,Mondadori,Romanzo
Ernest Hemingway,Verdi colline d'Africa,Mondadori,Romanzo
Carlo Lucarelli,Via delle Oche,Sellerio Editore Palermo,Romanzo
Franco Pezzini,"Victoriana. Maschere e miti, demoni e dei del mondo vittoriano",Odoya,Saggi
vuoto,Vini d'Italia 2011,Gambero Rosso GRH,Cucina
Francesco Balena,Visual Basic 6,Mondadori,Informatica
"Bertolt Brecht, E. Castellani",Vita di Galileo,Einaudi,Storia
Nicola Gardini,Viva il latino. Storie e bellezza di una lingua inutile,Garzanti Libri,Lingue
Andrea Camilleri,"Voi non sapete. Gli amici, i nemici, la mafia, il mondo nei pizzini di Bernardo Provenzano",Mondadori,Saggi
Andrea Camilleri,I racconti di Nenè,Feltrinelli,Romanzo
Giuseppe Benedetti / Doantella Coccoli,Gramsci per la scuola,L'asino d'oro,Saggi
Benjamin Jacobs,Il dentista di Auschwitz,GINGKO,Romanzo
Flavio Caroli,La storia dell'arte,Electa,Arte
Ann Cleeves,Too good to be true,PAN BOOKS,Romanzo
Giovanni Fasanella,Il Puzzle Moro,Chiarelettere,Saggi
Andrea Camilleri,Il metodo Catalanotti,Sellerio,Romanzo
Vittorino Andreoli,Il silenzio delle pietre,Rizzoli,Romanzo
Philip  K. Dick,La svastica sul sole,Fanucci Editore,Romanzo
Pietro Ratto,L'Honda anomala,Bibliotheka,Politica
Amedeo Osti Guerrazzi,Gli anni della vergogna 1938-1945,Gangemi editore,Storia
Michela Murgia,Istruzioni per diventare fascisti,SUPER ET OPERA VIVA,Sociologia
Antonio Manzini,Fater il vostro gioco,Sellerio,Romanzo
Marco Baliani,Il regno di Acilia,BUR,Romanzo
Luis Fernando Verissimo,O melhor das Comedias da Vida Privada,OBJETIVA,Racconti
Enrico Mattei,Il complesso d'inferiorità,Edizioni di comunità,Sociologia
Mark Saborn,Fed Factor,Random House Business Books,Sociologia
AAVV,Dizionario LATINO,DeAgostini,Dizionari
"Jessey Bullock, Jeff Parker",Wireshark e Metasploit,Apogeo,Informatica
Anna Frank,Diario,CRESCERE EDIZIONI,Storia
Aldo Busi,El especialista de Barcelona,Baldini & Castoldi,Romanzo
Tom Shore,Pilgrim Spy,Coronet,Spionaggio
Alessandra Kersevan,Un campo di concentramento fascista,RESISTENZA STORICA KAPPA VU,Storia
Pier Paolo Pasolini,Il fascismo degli antifascisti,Garzanti,Politica
Ian Rankin,Watchman,Orion Books,Romanzo
Massimo Cotto,We will rock you. Segreti e bugie. 709 canzoni come non le avete mai sentite,BUR Rizzoli,Musica
Graham Hancock,Il ritorno degli dei,Corbaccio,Storia
Gunter Beer,Web Design Index,Agile Rabbit,Informatica
Jonathan Coe,What a Carve Up!,Penguin,Romanzo
"Martin B. Withers, David Hosking",Wildlife of East Africa (Princeton Illustrated Checklists),Princeton University Press,Animali
William R. Stanek,Windows Command line. Guida pratica,Mondadori Informatica,Informatica
Jens Finke,Zanzibar,Vallardi Viaggi,Viaggi
Aleksandr Isaevic  Solzenicyn,Arcipelago Gulag,Mondadori,Storia
Philippe Daverio,Grand Tour d'Italia a piccoli passi,Rizzoli,Arte
Zygmunt Bauman,Vita liquida,Laterza,Sociologia
Zygmunt Bauman,Amore liquido,Laterza,Sociologia
Zygmunt Bauman,Di nuovo soli,Castelvecchi,Sociologia
Paul Lowe,1001 Fotografie da vedere nella vita,Atlante,Fotografia
Francesco Amodeo,La Matrix Europea,edizioni Sì,Politica
Antonio Manzini,Rien ne va plus,Sellerio editore Palermo,Romanzo
"Paolo Giovannini, Marco Palla",Il fascismo dalle mani sporche,Editori Laterza,Storia
Erasmo da Rotterdam,Elogio della Follia,Mondadori,Saggi
J. D. Salinger,Il giovane Holden,Einaudi,Romanzo
Platone,La Repubblica,Laterza,Filosofia
Epicuro,Lettera sulla felicità,Einaudi,Filosofia
Giuseppe Riva,Fake news,Il Mulino,Saggi
Ian Kershaw,Hitler,Bompiani,Storia
Ann Cleeves,Telling tales,Pan Books,Romanzo
Muammar Gheddafi,Libro Verde,GOG,Storia
Erico Verissimo,Incidente em Antares,Companhia De Bolso,Romanzo
